"filename", "language", "PowerShell", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "HTML", "Python", "pip requirements", "TypeScript", "TypeScript JSX", "YAML", "JSON with Comments", "Java", "Batch", "Java Properties", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\eyash\news_bridge\backend\ai-service\retrieval\search.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\eyash\news_bridge\backend\ai-service\retrieval\vector_store.py", "Python", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 90
"c:\Users\eyash\news_bridge\backend\ai-service\scheduler\jobs.py", "Python", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\eyash\news_bridge\backend\checker\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\eyash\news_bridge\backend\checker\url_model\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\eyash\news_bridge\backend\checker\url_model\classifier.py", "Python", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 40
"c:\Users\eyash\news_bridge\backend\checker\url_model\combined_data.json", "JSON", 0, 0, 0, 0, 0, 4158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4158
"c:\Users\eyash\news_bridge\backend\checker\url_model\extractor.py", "Python", 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 56, 311
"c:\Users\eyash\news_bridge\backend\checker\url_model\predict.py", "Python", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 130
"c:\Users\eyash\news_bridge\backend\checker\url_model\utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\eyash\news_bridge\backend\classifier_service\final_mode_V2\config.json", "JSON", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\eyash\news_bridge\backend\classifier_service\final_mode_V2\tokenizer.json", "JSON", 0, 0, 0, 0, 0, 1000193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000193
"c:\Users\eyash\news_bridge\backend\classifier_service\final_mode_V2\tokenizer_config.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\eyash\news_bridge\backend\classifier_service\news_classifier_app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 81
"c:\Users\eyash\news_bridge\backend\crawler_server\backend_client.py", "Python", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 131
"c:\Users\eyash\news_bridge\backend\crawler_server\crawler_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 209
"c:\Users\eyash\news_bridge\backend\crawler_server\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 109, 654
"c:\Users\eyash\news_bridge\backend\crawler_server\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\eyash\news_bridge\backend\crawler_server\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\eyash\news_bridge\backend\crawler_server\settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\eyash\news_bridge\backend\crawler_server\vv_adapter.py", "Python", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 39
"c:\Users\eyash\news_bridge\backend\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\eyash\news_bridge\backend\endpoint_discovery\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"c:\Users\eyash\news_bridge\backend\endpoint_discovery\listing_discoverer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 134, 968
